evtid,source,relationship,target,type2chk
1,parentimage,created,image,
2,image,modified,targetfilename,
3,image,connected_to,destinationip,
3,image,connected_to,destinationhostname,
3,user,connected_to,destinationhostname,
3,user,connected_to,destinationip,
5,image,terminated,terminated,
6,driver,loaded,driver,
7,process,loaded,imageloaded,
8,sourceimage,wrote_to,targetimage,
9,process,raw_access_read,drive,
10,sourceimage,opened,targetimage,
11,image,created,targetfilename,
12,image,created,targetobject,eventtype
12,image,deleted,targetobject,eventtype
13,image,modified,targetobject,eventtype
14,image,renamed,targetobject,eventtype
17,image,created,pipename,eventtype
18,image,connected_to,pipename,eventtype
4624,subjectusername,authenticated,workstationname,
4625,subjectusername,failed,workstationname,
4648,subjectusername,authenticated,workstationname,
4656,subjectusername,requested_a_handle,objectname,
4656,process,requested_a_handle,objectname,
4656,user,requested_a_handle,objectname,
4657,user,modified,objectname,
4657,process,modified,objectname,
4658,processname,closed_a_handle,handleid,
4660,process,deleted,deleted,
4661,subjectusername,requested_a_handle,objectname,
4662,subjectusername,accessed,objectname,
4663,subjectusername,accessed,objectname,
4663,subjectusername,deleted,objectname,
4663,process,accessed,objectname,
4663,user,accessed,objectname,
4663,process,deleted,objectname,
4663,user,deleted,objectname,
4664,subjectusername,created,servicename,unknown
4670,subjectusername,changed_permissions,objectname,
4670,process,changed_permissions,win registry key,
4670,user,changed_permissions,win registry key,
4673,processname,called,privilegelist,
4674,process,attempted,object,unknown
4674,processname,attempted,privilegelist,
4688,processname,created,newprocessname,unknown
4689,user,terminated,process,unknown
4697,subjectusername,installed,servicename,unknown
4698,subjectusername,created,taskname,
4699,subjectusername,deleted,taskname,
4700,subjectusername,enabled,taskname,
4701,subjectusername,disabled,taskname,
4702,subjectusername,updated,taskname,
4717,subjectusername,granted_access,targetusername,
4718,subjectusername,removed_access,targetusername,
4720,subjectusername,created,targetusername,
4722,subjectusername,enabled,targetusername,
4723,subjectusername,changed_password,targetusername,
4724,subjectusername,reset_password,targetusername,
4725,subjectusername,disabled,targetusername,
4726,subjectusername,deleted,targetusername,
4731,user,created,targetdomainname,
4732,subjectusername,added,targetusername,
4733,subjectusername,removed,targetusername,
4734,user,deleted,targetdomainname,
4735,user,changed,targetdomainname,
4738,subjectusername,changed,targetusername,
4740,subjectusername,locked,targetusername,
4741,subjectusername,created,computer,
4742,subjectusername,changed,computer,
4743,subjectusername,deleted,computer,
4749,user,created,targetdomainname,
4750,user,changed,targetdomainname,
4751,subjectusername,added,targetusername,
4752,subjectusername,removed,targetusername,
4753,user,deleted,targetdomainname,
4764,user,changed_type,targetdomainname,
4767,subjectusername,unlocked,targetusername,
4768,subjectusername,requested,servicename,
4769,subjectusername,requested,servicename,unknown
4770,subjectusername,renewed,servicename,unknown
4771,subjectusername,authenticated_with,servicename,
4773,subjectusername,requested,servicename,unknown
4776,computer,authenticated,subjectusername,
4778,subjectusername,connected_to,workstationname,
4779,subjectusername,disconnected_from,workstationname,
4781,subjectusername,changed_name,targetusername,
4798,subjectusername,enumerated,targetusername,
4799,user,enumerated,targetusername,
4799,user,enumerated,targetdomainname,
4800,subjectusername,locked,workstationname,
4801,subjectusername,unlocked,workstationname,
5025,processname,stopped,Firewall Service,unknown
5025,subjectusername,stopped,Firewall Service,unknown
5031,computer,blocked_service_connection_to,application,
5034,process,stopped,Firewall Driver,unknown
5034,subjectusername,stopped,Firewall Driver,unknown
5136,subjectusername,modified,objectname,
5137,subjectusername,created,objectname,
5138,subjectusername,restored,objectname,
5139,subjectusername,moved,objectname,
5140,subjectusername,accessed,sharename,
5141,subjectusername,deleted,objectname,
5142,subjectusername,added,sharename,
5143,subjectusername,modified,sharename,
5144,subjectusername,deleted,sharename,
5145,subjectusername,accessed,objectname,
5154,computer,permitted_listener_on,application,
5155,computer,blocked_listener_on,application,
5156,application,connected_from,sourceaddress,
5156,application,connected_to,destaddress,
5156,computer,permitted_inbound_connection_on,application,
5156,computer,permitted_outbound_connection_on,application,
5157,computer,blocked_inbound_connection_on,application,
5157,computer,blocked_outbound_connection_on,application,
5158,application,bound _to,subjectusername,
5158,computer,permitted_local_port_bind_on,application,
5159,computer,blocked_local_port_bind_on,application,
