Data Source,Sub - Data Source,Data Object,Relationship,Data Object,Event ID,Description,Provider Name,Event Channel,Data Category,Data Sub-Category,Minimun Operating System,GPO,Enable Commands,Client Default,Server Default
File monitoring,drivers load,driver,loaded,driver,6,The driver loaded events provides information about a driver being loaded on the system,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Driver Loaded ,N/A,"Windows 7, Windows 2008 R2",N/A ,"Sysmon64.exe -i -l /Sysmon64.exe -c -l /  <DriverLoad onmatch=""exclude"">",No auditing,No auditing
File monitoring,drive raw access,process,raw_access_read,drive,9,The RawAccessRead event detects when a process conducts reading operations from the drive using the \.\ denotation,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Drive Access,Raw Access Read,"Windows 7, Windows 2008 R2",N/A ,"<RawAccessRead onmatch=""exclude"" />",No auditing,No auditing
File monitoring,file creation,process,created,file,11,File create operations are logged when a file is created or overwritten.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,File Monitoring,File Created,"Windows 7, Windows 2008 R2",N/A ,"<FileCreate onmatch=""exclude"" />",No auditing,No auditing
File monitoring,file timestamp modification,process,modified,file,2,A process changed a file creation time,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,File Creation Time Changed,File Creation Time Changed,"Windows 7, Windows 2008 R2",N/A ,"Sysmon64.exe -i -l / <FileCreateTime onmatch=""exclude"" />",No auditing,No auditing
File monitoring,file modification,process,modified,file,11,File create operations are logged when a file is created or overwritten.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,File Monitoring,File Modified,"Windows 7, Windows 2008 R2",N/A ,"<FileCreate onmatch=""exclude"" />",No auditing,No auditing
File monitoring,file modification,process,renamed,file,11,File create operations are logged when a file is created or overwritten.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,File Monitoring,File Renamed,"Windows 7, Windows 2008 R2",N/A ,"<FileCreate onmatch=""exclude"" />",No auditing,No auditing
File monitoring,file download,process,downloaded,file,11,File create operations are logged when a file is created or overwritten.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,File Monitoring,File Downloaded,"Windows 7, Windows 2008 R2",N/A ,"<FileCreate onmatch=""exclude"" />",No auditing,No auditing
File monitoring,file access,user,accessed,file,5145,A network share object was checked to see whether client can be granted desired access,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Detailed File Share,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon,"auditpol.exe /set /subcategory:""Detailed File Share"" /success:enable",No auditing,No auditing
File monitoring,file access request,user,requested_a_handle,file,4656,A handle to an object was requested.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File System,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""File System"" /success:enable",No auditing,No auditing
File monitoring,file deletion request,user,requested_a_handle,file,4656,A handle to an object was requested.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File System,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""File System"" /success:enable",No auditing,No auditing
File monitoring,file access,user,accessed,file,4663,An attempt was made to access an object.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File System,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""File System"" /success:enable",No auditing,No auditing
File monitoring,file deletion,user,deleted,file,4663,An attempt was made to access an object.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File System,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""File System"" /success:enable",No auditing,No auditing
File monitoring,file permissions change,user,changed_permissions,file,4670,Permissions on an object were changed.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File System,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""File System"" /success:enable ",No auditing,No auditing
Loaded DLLs,module load,process,loaded,module,7,The image loaded event logs when a module is loaded in a specific process .,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Image Loaded,Module loaded in Process,"Windows 7, Windows 2008 R2",N/A ,"<ImageLoad onmatch=""exclude"" />",No auditing,No auditing
Named Pipes,win pipe creation,process,created,pipe,17,This event generates when a named pipe is created.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Pipe Creation,N/A,"Windows 7, Windows 2008 R2",N/A ,"<TargetFilename onmatch=""exclude"" />",No auditing,No auditing
Named Pipes,win pipe connection,process,connected_to,pipe,18,This event logs when a named pipe connection is made between a client and a server.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Pipe Connection,N/A,"Windows 7, Windows 2008 R2",N/A ,"<TargetFilename onmatch=""exclude"" />",No auditing,No auditing
Process monitoring,process creation,process,created,process,4688,A new process has been created,Microsoft-Windows-Security-Auditing,Security,Audit Detailed Tracking,Audit Process Creation,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Creation,"auditpol.exe /set /subcategory:""Process Creation"" /success:enable",No auditing,No auditing
Process monitoring,process creation,process,created,process,1,Process creation,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Process Creation ,N/A,"Windows 7, Windows 2008 R2",N/A ,"Sysmon64.exe -i /Sysmon64.exe -i -l /Sysmon64.exe -c -l /  <ProcessCreate onmatch=""exclude""/> ",No auditing,No auditing
Process monitoring,process termination,user,terminated,process,4689,A process has exited,Microsoft-Windows-Security-Auditing,Security,Audit Detailed Tracking,Audit Process Termination,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System  Audit Policies -> Detailed Tracking -> Audit Process Termination,"auditpol.exe /set /subcategory:""Process Termination"" /success:enable",No auditing,No auditing
Process monitoring,process termination,process,terminated,,5,The process terminate event reports when a process terminates.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Process Terminiation,N/A,"Windows 7, Windows 2008 R2",N/A ,"Sysmon64.exe -i /Sysmon64.exe -i -l / Sysmon64.exe -c -l / <ProcessTerminate onmatch=""exclude"" />",No auditing,No auditing
Process monitoring,process write to process,process,wrote_to,process,8,The CreateRemoteThread event detects when a process creates a thread in another process.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Process Right to Process ,CreateRemoteThread,"Windows 7, Windows 2008 R2",N/A ,"<CreateRemoteThread onmatch=""exclude"" />",No auditing,No auditing
Process monitoring,process access,process,opened,process,10,The process accessed event reports when a process opens another process.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Process Access,Process Opens Another Process,"Windows 7, Windows 2008 R2",N/A ,"<ProcessAccess onmatch=""exclude"" />",No auditing,No auditing
Process use of network,process network connection allow,process,connected_to,ip,3,The network connection event logs TCP/UDP connections on the machine.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Process Network Connection,Process Connected To IP,"Windows 7, Windows 2008 R2",N/A ,"Sysmon64.exe -i -n / Sysmon64.exe -c -n / <NetworkConnect onmatch=""exclude"" />",No auditing,No auditing
Process use of network,process network connection allow,process,connected_to,host,3,The network connection event logs TCP/UDP connections on the machine.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Process Network Connection,Process Connected To Host,"Windows 7, Windows 2008 R2",N/A ,"Sysmon64.exe -i -n / Sysmon64.exe -c -n / <NetworkConnect onmatch=""exclude"" />",No auditing,No auditing
Process use of network,process network connection allow,user,connected_to,host,3,The network connection event logs TCP/UDP connections on the machine.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Process Network Connection,User Connected To Host,"Windows 7, Windows 2008 R2",N/A ,"Sysmon64.exe -i -n / Sysmon64.exe -c -n / <NetworkConnect onmatch=""exclude"" />",No auditing,No auditing
Process use of network,process network connection allow,user,connected_to,ip,3,The network connection event logs TCP/UDP connections on the machine.,Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Proccess Network Connection,User Connected To IP,"Windows 7, Windows 2008 R2",N/A ,"Sysmon64.exe -i -n / Sysmon64.exe -c -n / <NetworkConnect onmatch=""exclude"" />",No auditing,No auditing
