title,description,providing_technologies,category,usecase,mitre_tactics,mitre_techniques,killchain,qualified_search
Access to In-Scope Unencrypted Resources,"Unencrypted communications leaves you vulnerable to a data breach -- when users access PII data, ensure that all connections are encrypted.",['Web Proxy'],GDPR,Compliance,[],[],[],((tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)) app=workday* dest_port!=443 | table _time user app bytes* src_ip dest_ip dest_port
Access to In-scope Resources,Visibility into who is accessing in-scope resources is key to your GDPR efforts. Splunk allows easy analysis of that information.,['Web Proxy'],GDPR,Compliance,[],[],[],((tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)) app=workday* | table _time user app bytes* src_ip dest_ip
Activity from Expired User Identity - on Category,The GDPR requires that only authorized individuals access personal data. Alert when the account of a past employee is used to log into GDPR-tagged systems,"['Windows Security', 'Authentication']",GDPR,Compliance,"['Privilege Escalation', 'Persistence']",['Valid Accounts'],['Actions on Objectives'],"index=* (source=""*WinEventLog:Security"" OR sourcetype=linux_secure OR tag=authentication) user=* user!="""" action=success | lookup user_account_status.csv user | where _time > relative_time(terminationDate, ""+1d"") | lookup gdpr_system_category.csv host as dest OUTPUT category | search category=*"
Aggregate Risky Events,Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.,['Ticket Management'],"Insider Threat, Account Sharing","Insider Threat, Advanced Threat Detection","['Persistence', 'Privilege Escalation', 'Lateral Movement']","['Valid Accounts', 'Remote Desktop Protocol', 'Windows Remote Management']",[],"index=risk earliest=-7d| rex field=search_name ""^(?<security_domain>[\w ]*) -"" | stats values(security_domain) as security_domain dc(security_domain) as num_security_domain values(search_name) as search_name dc(search_name) as num_search_name by risk_object _time | where num_security_domain >= 3 OR num_search_name >= 5"
Authentication Against a New Domain Controller,A common indicator for lateral movement is when a user starts logging into new domain controllers.,['Windows Security'],Lateral Movement,Advanced Threat Detection,['Lateral Movement'],['Remote Services'],['Installation'],"source=""*WinEventLog:Security"" index=* 4776 EventCode=4776 | rename ComputerName as DomainControllerName | table _time DomainControllerName user| stats earliest(_time) as earliest latest(_time) as latest  by user, anonymized_DomainControllerName | where earliest > relative_time(now(), ""-1d@d"") "
Basic Brute Force Detection,"Uses a simple threshold for Windows Security Logs to alert if there are a large number of failed logins, and at least one successful login from the same source.","['Authentication', 'Windows Security']","Account Compromise, Scanning",Security Monitoring,['Credential Access'],['Brute Force'],[],"index=* (source=""*WinEventLog:Security"" OR sourcetype=linux_secure OR tag=authentication) user!=""""  | stats count(eval(action=""success"")) as successes count(eval(action=""failure"")) as failures by src | where successes>0 AND failures>100"
Basic Dynamic DNS Detection,"Detect outbound communication to Dynamic DNS servers, which are frequently leveraged for command and control by all types of attackers.","['DNS', 'Web Proxy']",Command and Control,"Security Monitoring, Advanced Threat Detection","['Command and Control', 'Establish & Maintain Infrastructure', 'Adversary OPSEC']","['Dynamic DNS', 'Dynamic DNS', 'Application Layer Protocol']",['Command and Control'],"index=* sourcetype=pan:threat OR (tag=web tag=proxy) earliest=-20m@m earliest=-5m@m | eval list=""mozilla"" | `ut_parse_extended(url,list)`| lookup dynamic_dns_lookup domain as ut_domain OUTPUT inlist| search inlist=true | table _time ut_domain inlist bytes* uri"
Basic Malware Outbreak,Looks for the same malware occurring on multiple systems in a short period of time.,['Anti-Virus or Anti-Malware'],Endpoint Compromise,Security Monitoring,"['Initial Access', 'Execution', 'Privilege Escalation']","['Drive-by Compromise', 'Spearphishing Attachment', 'Spearphishing Link', 'User Execution', 'Exploitation for Privilege Escalation']",['Delivery'],index=* sourcetype=symantec:*  earliest=-24h| transaction maxpause=1d Risk_Name | where mvcount(Computer_Name)>3
Basic Malware Outbreak,Looks for the same malware occurring on multiple systems in a short period of time.,['Anti-Virus or Anti-Malware'],Endpoint Compromise,Security Monitoring,"['Initial Access', 'Execution', 'Privilege Escalation']","['Drive-by Compromise', 'Spearphishing Attachment', 'Spearphishing Link', 'User Execution', 'Exploitation for Privilege Escalation']",['Delivery'],index=* sourcetype=symantec:*  earliest=-24h| transaction maxpause=1d Risk_Name | where mvcount(Computer_Name)>3
Basic Scanning,"Looks for hosts that reach out to more than 500 hosts, or more than 500 ports in a short period of time, indicating scanning.",['Network Communication'],Scanning,Security Monitoring,['Discovery'],"['Network Service Scanning', 'Remote System Discovery']",['Reconnaissance'],index=* ( (tag=network tag=communicate) OR sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa) earliest=-1h | stats dc(dest_port) as num_dest_port dc(dest_ip) as num_dest_ip by src_ip | where num_dest_port > 1000 OR num_dest_ip > 1000
