,ttp,Description,Log Source,Detection Rules,False Positive Rules,APT Group
0,attack.t1566.001,Detects suspicious Hangul Word Processor (Hanword) sub processes that could indicate an exploitation,"{'category': 'process_creation', 'product': 'windows'}","{'selection': {'ParentImage|endswith': '\\Hwp.exe', 'Image|endswith': '\\gbb.exe'}, 'condition': 'selection'}",['Unknown'],G0099
1,attack.t1566.001,Detects exploits that use CVE-2017-11882 to start EQNEDT32.EXE and other sub processes like mshta.exe,"{'category': 'process_creation', 'product': 'windows'}","{'selection': {'ParentImage|endswith': '\\EQNEDT32.EXE'}, 'condition': 'selection'}",['unknown'],G0099
2,attack.t1566.001,Detects Winword starting uncommon sub process FLTLDR.exe as used in exploits for CVE-2017-0261 and CVE-2017-0262,"{'category': 'process_creation', 'product': 'windows'}","{'selection': {'ParentImage|endswith': '\\WINWORD.EXE', 'Image|contains': '\\FLTLDR.exe'}, 'condition': 'selection'}","['Several false positives identified, check for suspicious file names or locations (e.g. Temp folders)']",G0099
3,attack.t1566.001,Detects Winword starting uncommon sub process csc.exe as used in exploits for CVE-2017-8759,"{'category': 'process_creation', 'product': 'windows'}","{'selection': {'ParentImage|endswith': '\\WINWORD.EXE', 'Image|endswith': '\\csc.exe'}, 'condition': 'selection'}",['Unknown'],G0099
4,attack.t1566.001,"Detects suspicious use of an .exe extension after a non-executable file extension like .pdf.exe, a set of spaces or underlines to cloak the executable file in spear phishing campaigns","{'category': 'process_creation', 'product': 'windows'}","{'selection': {'Image|endswith': ['.doc.exe', '.docx.exe', '.xls.exe', '.xlsx.exe', '.ppt.exe', '.pptx.exe', '.rtf.exe', '.pdf.exe', '.txt.exe', '      .exe', '______.exe']}, 'condition': 'selection'}",['Unknown'],G0099
5,attack.t1566.001,"Alerts on trust record modification within the registry, indicating usage of macros","{'category': 'registry_event', 'product': 'windows'}","{'selection': {'TargetObject|contains': 'TrustRecords'}, 'condition': 'selection'}","['Alerts on legitimate macro usage as well, will need to filter as appropriate']",G0099
6,attack.t1566.001,Detects a suspicious program execution in Outlook temp folder,"{'category': 'process_creation', 'product': 'windows'}","{'selection': {'Image|contains': '\\Temporary Internet Files\\Content.Outlook\\\\'}, 'condition': 'selection'}",['Unknown'],G0099
7,attack.t1204.002,Detects DSParse DLL being loaded by an Office Product,"{'category': 'image_load', 'product': 'windows'}","{'selection': {'Image|endswith': ['\\winword.exe', '\\powerpnt.exe', '\\excel.exe', '\\outlook.exe'], 'ImageLoaded|contains': ['\\dsparse.dll']}, 'condition': 'selection'}","['Alerts on legitimate macro usage as well, will need to filter as appropriate']",G0099
8,attack.t1204.002,Detects exploits that use CVE-2017-11882 to start EQNEDT32.EXE and other sub processes like mshta.exe,"{'category': 'process_creation', 'product': 'windows'}","{'selection': {'ParentImage|endswith': '\\EQNEDT32.EXE'}, 'condition': 'selection'}",['unknown'],G0099
9,attack.t1204.002,"Detects a Windows command and scripting interpreter executable started from Microsoft Word, Excel, Powerpoint, Publisher and Visio","{'category': 'process_creation', 'product': 'windows'}","{'selection': {'ParentImage|endswith': ['\\WINWORD.EXE', '\\EXCEL.EXE', '\\POWERPNT.exe', '\\MSPUB.exe', '\\VISIO.exe', '\\OUTLOOK.EXE', '\\MSACCESS.EXE', '\\EQNEDT32.EXE'], 'Image|endswith': ['\\cmd.exe', '\\powershell.exe', '\\wscript.exe', '\\cscript.exe', '\\sh.exe', '\\bash.exe', '\\scrcons.exe', '\\schtasks.exe', '\\regsvr32.exe', '\\hh.exe', '\\wmic.exe', '\\mshta.exe', '\\rundll32.exe', '\\msiexec.exe', '\\forfiles.exe', '\\scriptrunner.exe', '\\mftrace.exe', '\\AppVLP.exe', '\\svchost.exe', '\\msbuild.exe']}, 'condition': 'selection'}",['unknown'],G0099
10,attack.t1204.002,Detects any GAC DLL being loaded by an Office Product,"{'category': 'image_load', 'product': 'windows'}","{'selection': {'Image|endswith': ['\\winword.exe', '\\powerpnt.exe', '\\excel.exe', '\\outlook.exe'], 'ImageLoaded|startswith': ['C:\\Windows\\Microsoft.NET\\assembly\\GAC_MSIL']}, 'condition': 'selection'}","['Alerts on legitimate macro usage as well, will need to filter as appropriate']",G0099
11,attack.t1204.002,Detects Winword starting uncommon sub process FLTLDR.exe as used in exploits for CVE-2017-0261 and CVE-2017-0262,"{'category': 'process_creation', 'product': 'windows'}","{'selection': {'ParentImage|endswith': '\\WINWORD.EXE', 'Image|contains': '\\FLTLDR.exe'}, 'condition': 'selection'}","['Several false positives identified, check for suspicious file names or locations (e.g. Temp folders)']",G0099
12,attack.t1204.002,Detects specific process characteristics of Maze ransomware word document droppers,"{'category': 'process_creation', 'product': 'windows'}","{'selection1': {'ParentImage|endswith': ['\\WINWORD.exe'], 'Image|endswith': ['*.tmp']}, 'selection2': {'Image|endswith': '\\wmic.exe', 'ParentImage|contains': '\\Temp\\', 'CommandLine|endswith': 'shadowcopy delete'}, 'selection3': {'CommandLine|endswith': 'shadowcopy delete', 'CommandLine|contains': '\\..\\..\\system32'}, 'condition': '1 of them'}",['Unlikely'],G0099
13,attack.t1204.002,"Detect run not allowed files. Applocker is a very useful tool, especially on servers where unprivileged users have access. For example terminal servers. You need configure applocker and log collect to receive these events.","{'product': 'windows', 'service': 'applocker'}","{'selection': {'EventID': [8004, 8007]}, 'condition': 'selection'}",['need tuning applocker or add exceptions in SIEM'],G0099
14,attack.t1204.002,Detects Kerberos DLL being loaded by an Office Product,"{'category': 'image_load', 'product': 'windows'}","{'selection': {'Image|endswith': ['\\winword.exe', '\\powerpnt.exe', '\\excel.exe', '\\outlook.exe'], 'ImageLoaded|endswith': ['\\kerberos.dll']}, 'condition': 'selection'}","['Alerts on legitimate macro usage as well, will need to filter as appropriate']",G0099
15,attack.t1204.002,Detects Winword starting uncommon sub process csc.exe as used in exploits for CVE-2017-8759,"{'category': 'process_creation', 'product': 'windows'}","{'selection': {'ParentImage|endswith': '\\WINWORD.EXE', 'Image|endswith': '\\csc.exe'}, 'condition': 'selection'}",['Unknown'],G0099
16,attack.t1204.002,A General detection for a new application in AppCompat. This indicates an application executing for the first time on an endpoint.,"{'product': 'windows', 'category': 'registry_event'}","{'selection': {'TargetObject|contains': '\\AppCompatFlags\\Compatibility Assistant\\Store\\'}, 'condition': 'selection'}","['This rule is to explore new applications on an endpoint. False positives depends on the organization.', 'Newly setup system.', 'Legitimate installation of new application.']",G0099
